keyword,date,hits
bankrupt,2006-04-12,0
bankrupt,2006-04-13,27.77777777777778
bankrupt,2006-04-14,22.727272727272727
bankrupt,2006-04-15,0
bankrupt,2006-04-16,0
bankrupt,2006-04-17,29.761904761904763
bankrupt,2006-04-18,34.72222222222222
bankrupt,2006-04-19,30.48780487804878
bankrupt,2006-04-20,25.510204081632654
bankrupt,2006-04-21,24.509803921568626
bankrupt,2006-04-22,0
bankrupt,2006-04-23,0
bankrupt,2006-04-24,28.40909090909091
bankrupt,2006-04-25,0
bankrupt,2006-04-26,28.40909090909091
bankrupt,2006-04-27,0
bankrupt,2006-04-28,27.77777777777778
bankrupt,2006-04-29,0
bankrupt,2006-04-30,0
bankrupt,2006-05-01,32.89473684210526
bankrupt,2006-05-02,32.05128205128205
bankrupt,2006-05-03,30.48780487804878
bankrupt,2006-05-04,30.48780487804878
bankrupt,2006-05-05,27.77777777777778
bankrupt,2006-05-06,27.77777777777778
bankrupt,2006-05-07,0
bankrupt,2006-05-08,31.25
bankrupt,2006-05-09,30.48780487804878
bankrupt,2006-05-10,0
bankrupt,2006-05-11,25.510204081632654
bankrupt,2006-05-12,27.77777777777778
bankrupt,2006-05-13,0
bankrupt,2006-05-14,0
bankrupt,2006-05-15,0
bankrupt,2006-05-16,28.40909090909091
bankrupt,2006-05-17,29.069767441860467
bankrupt,2006-05-18,0
bankrupt,2006-05-19,25
bankrupt,2006-05-20,0
bankrupt,2006-05-21,0
bankrupt,2006-05-22,29.069767441860467
bankrupt,2006-05-23,35.714285714285715
bankrupt,2006-05-24,31.25
bankrupt,2006-05-25,0
bankrupt,2006-05-26,23.148148148148145
bankrupt,2006-05-27,0
bankrupt,2006-05-28,32.05128205128205
bankrupt,2006-05-29,0
bankrupt,2006-05-30,27.77777777777778
bankrupt,2006-05-31,29.069767441860467
bankrupt,2006-06-01,27.173913043478255
bankrupt,2006-06-02,0
bankrupt,2006-06-03,0
bankrupt,2006-06-04,32.05128205128205
bankrupt,2006-06-05,33.78378378378378
bankrupt,2006-06-06,35.714285714285715
bankrupt,2006-06-07,28.40909090909091
bankrupt,2006-06-08,30.48780487804878
bankrupt,2006-06-09,0
bankrupt,2006-06-10,0
bankrupt,2006-06-11,0
bankrupt,2006-06-12,21.551724137931032
bankrupt,2006-06-13,27.173913043478255
bankrupt,2006-06-14,28.40909090909091
bankrupt,2006-06-15,36.764705882352935
bankrupt,2006-06-16,33.78378378378378
bankrupt,2006-06-17,0
bankrupt,2006-06-18,0
bankrupt,2006-06-19,26.595744680851062
bankrupt,2006-06-20,30.48780487804878
bankrupt,2006-06-21,0
bankrupt,2006-06-22,35.714285714285715
bankrupt,2006-06-23,0
bankrupt,2006-06-24,0
bankrupt,2006-06-25,0
bankrupt,2006-06-26,0
bankrupt,2006-06-27,33.78378378378378
bankrupt,2006-06-28,35.714285714285715
bankrupt,2006-06-29,40.32258064516129
bankrupt,2006-06-30,41.66666666666667
bankrupt,2006-07-01,0
bankrupt,2006-07-02,0
bankrupt,2006-07-03,0
bankrupt,2006-07-04,0
bankrupt,2006-07-05,41.66666666666667
bankrupt,2006-07-06,0
bankrupt,2006-07-07,62.5
bankrupt,2006-07-08,56.81818181818182
bankrupt,2006-07-09,0
bankrupt,2006-07-10,50
bankrupt,2006-07-11,48.07692307692308
bankrupt,2006-07-12,0
bankrupt,2006-07-13,44.64285714285714
bankrupt,2006-07-14,44.64285714285714
bankrupt,2006-07-15,0
bankrupt,2006-07-16,0
bankrupt,2006-07-17,41.66666666666667
bankrupt,2006-07-18,39.0625
bankrupt,2006-07-19,0
bankrupt,2006-07-20,32.05128205128205
bankrupt,2006-07-21,29.761904761904763
bankrupt,2006-07-22,0
bankrupt,2006-07-23,0
bankrupt,2006-07-24,36.764705882352935
bankrupt,2006-07-25,41.66666666666667
bankrupt,2006-07-26,40.32258064516129
bankrupt,2006-07-27,39.0625
bankrupt,2006-07-28,0
bankrupt,2006-07-29,39.0625
bankrupt,2006-07-30,0
bankrupt,2006-07-31,44.64285714285714
bankrupt,2006-08-01,36.764705882352935
bankrupt,2006-08-02,32.89473684210526
bankrupt,2006-08-03,33.78378378378378
bankrupt,2006-08-04,40.32258064516129
bankrupt,2006-08-05,54.34782608695651
bankrupt,2006-08-06,0
bankrupt,2006-08-07,46.29629629629629
bankrupt,2006-08-08,59.523809523809526
bankrupt,2006-08-09,56.81818181818182
bankrupt,2006-08-10,43.103448275862064
bankrupt,2006-08-11,52.08333333333333
bankrupt,2006-08-12,56.81818181818182
bankrupt,2006-08-13,0
